,เพศ,Age,Weight,Height,BMI,พื้นที่ทำแบบสอบถาม,Temp,Globe temp,RH,V,Thermal_acceptance,Thermal_sensation_Vote,อุณหภูมิ,ความชื้น,กระแสลม,ความแรงของแสงแดด,เหงื่อบริเวณผิวหนัง,ความร้อน,ความชื้น.1,กระแสลม.1,แสงแดด,เหงื่อบริเวณผิวหนัง.1,TMRT,Clo,Met,seasons
0,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,30.5,30.6,42.9,0.13,Accept,0,2,1,2,3,2,0,-1,0,-1,0,30.628551,0.55,1.2,winter
1,ชาย,36,71,175,23.18367347,ภายนอก/ มีหลังคาคลุม,30.5,30.6,42.9,0.13,Accept,-1,3,0,5,3,1,0,0,1,-1,0,30.628551,0.55,1.2,winter
2,หญิง,25,89,153,38.01956512,ภายนอก/ มีหลังคาคลุม,30.5,30.6,42.9,0.13,Accept,-1,2,0,4,1,1,0,0,0,0,0,30.628551,0.55,1.2,winter
3,ชาย,29,75,165,27.54820937,ภายนอก/ มีหลังคาคลุม,30.5,30.6,42.9,0.13,Accept,-1,3,3,4,4,2,-1,0,0,-1,1,30.628551,0.55,1.2,winter
4,ชาย,28,118,187,33.74417341,ภายนอก/ มีหลังคาคลุม,30.5,30.6,42.9,0.13,Accept,-1,2,1,4,3,0,-1,-1,0,-1,0,30.628551,0.55,1.2,winter
5,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,30.8,31.9,44.4,0.185,Accept,1,3,3,2,4,3,-1,-1,0,-1,-1,32.2976073,0.55,1.2,winter
6,หญิง,25,89,153,38.01956512,ภายนอก/ มีหลังคาคลุม,30.8,31.9,44.4,0.185,Accept,1,3,1,2,4,1,-1,0,1,-1,0,32.2976073,0.55,1.2,winter
7,ชาย,28,118,187,33.74417341,ภายนอก/ มีหลังคาคลุม,30.8,31.9,44.4,0.185,Accept,1,3,3,1,4,2,-1,-1,1,-1,-1,32.2976073,0.55,1.2,winter
8,ชาย,36,71,175,23.18367347,ภายนอก/ มีหลังคาคลุม,30.8,31.9,44.4,0.185,Accept,0,3,2,0,4,3,0,0,1,-1,0,32.2976073,0.55,1.2,winter
9,ชาย,29,75,165,27.54820937,ภายนอก/ มีหลังคาคลุม,30.8,31.9,44.4,0.185,Accept,2,5,6,2,5,5,-1,-1,-1,-1,-1,32.2976073,0.55,1.2,winter
10,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,30.4,31.9,44,0.135,Accept,0,2,2,4,2,2,-1,-1,1,-1,0,32.3334325,0.55,1.2,winter
